,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
214,26,6,1,13,0,0,0,0,1,0.0,Aki Seiuli,54.0,0.0,1.0,AS875500,0.0,0.0,0
215,2,2,5,3,1,0,0,0,0,0.0,Elliot Dee,33.0,0.0,2.0,ED407758,0.0,0.0,0
216,16,4,0,0,0,0,0,0,0,0.0,Mesake Doge,48.0,0.0,3.0,MD294600,0.0,0.0,0
217,0,0,3,11,0,0,0,0,0,0.0,Joseph Davies,80.0,0.0,4.0,JD998344,0.0,0.0,0
218,12,2,5,5,0,1,0,0,0,0.0,Will Rowlands,48.0,0.0,5.0,WR283546,0.0,0.0,0
219,9,8,1,11,1,0,0,0,0,0.0,Harrison Keddie,80.0,0.0,6.0,HK862583,0.0,0.0,0
220,54,9,6,12,3,1,0,0,1,0.0,Taine Basham,80.0,0.0,7.0,TB339876,0.0,0.0,0
221,17,8,2,4,3,1,0,0,0,0.0,Aaron Wainwright,69.0,0.0,8.0,AW601545,0.0,0.0,0
222,6,3,5,8,0,0,0,0,0,0.0,James Benjamin,47.0,1.0,2.0,JB948039,0.0,0.0,0
223,1,2,0,6,0,0,0,0,0,0.0,Josh Reynolds,26.0,1.0,1.0,JR288049,0.0,0.0,0
224,2,2,1,3,0,0,0,0,0,0.0,Leon Brown,32.0,1.0,3.0,LB915327,0.0,0.0,0
