,M,C,P,T,MT,TW,TC,DB,TA,O,CB,LW,LS,at_home,p_name,min_played,is_sub,pos_num_x,PlayGuid,M_per80m,C_per80m,P_per80m,T_per80m,MT_per80m,TW_per80m,TC_per80m,DB_per80m,TA_per80m,O_per80m,CB_per80m,LW_per80m,LS_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,DB_per_Break_per80m,pos_num_y
6093,15,1,0,5,1,0,0,0,0,0,0,0,0,1,Piers Francis,28,1,13,PF559977,29.436226528881583,1.9624151019254388,0.0,9.812075509627194,1.9624151019254388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.000000000000002,0.8333333333333334,0.0,0.0,13.0
6094,7,1,0,2,1,1,0,1,0,0,0,0,0,1,Ollie Sleightholme,11,1,14,OS133310,27.345525429374,3.906503632767714,0.0,7.813007265535428,3.906503632767714,3.906503632767714,0.0,3.906503632767714,0.0,0.0,0.0,0.0,0.0,7.0,0.6666666666666667,1.0,1.0,14.0
6095,172,15,8,5,1,0,0,13,1,1,2,0,0,0,Huw Jones,80,0,15,HJ337666,172.0,15.0,8.0,5.0,1.0,0.0,0.0,13.0,1.0,1.0,2.0,0.0,0.0,11.466666666666667,0.8333333333333334,0.0,0.8666666666666667,13.0
6096,42,4,1,4,4,0,1,0,0,0,0,0,0,0,Louis Lynagh,80,0,14,LL358015,42.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.5,0.0,0.0,14.0
6097,15,3,5,9,0,1,0,0,1,0,0,0,0,0,Joe Marchant,80,0,13,JM952052,15.0,3.0,5.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,13.0
6098,45,13,8,9,3,0,1,4,1,0,1,0,0,0,Andre Esterhuizen,80,0,12,AE859027,45.0,13.0,8.0,9.0,3.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,3.4615384615384617,0.75,0.0,0.3076923076923077,12.0
6099,68,9,2,8,3,1,0,2,0,1,0,0,0,0,Cadan Murley,58,0,11,CM337255,82.2990535694464,10.892521795956142,2.4205603991013644,9.682241596405458,3.630840598652047,1.2102801995506822,0.0,2.4205603991013644,0.0,1.2102801995506822,0.0,0.0,0.0,7.5555555555555545,0.7272727272727273,1.0,0.22222222222222218,11.0
6100,22,7,22,10,4,0,3,3,0,1,0,0,0,0,Marcus Smith,80,0,10,MS438642,22.0,7.0,22.0,10.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.142857142857143,0.7142857142857143,0.0,0.42857142857142855,10.0
6101,5,4,78,7,4,1,1,1,0,1,0,0,0,0,Danny Care,80,0,9,DC572851,5.0,4.0,78.0,7.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.25,0.6363636363636364,0.5,0.25,9.0
6102,1,4,1,7,4,0,1,0,0,0,0,0,0,0,Simon Kerrod,50,0,1,SK536861,1.328771237954945,5.31508495181978,1.328771237954945,9.301398665684616,5.31508495181978,0.0,1.328771237954945,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6363636363636364,0.0,0.0,3.0
6103,7,7,7,12,1,0,1,2,1,0,0,0,0,0,Jack Walker,80,0,2,JW464654,7.0,7.0,7.0,12.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9230769230769231,0.0,0.2857142857142857,2.0
6104,25,7,0,9,0,1,1,0,0,0,0,0,0,0,Wilco Louw,69,0,3,WL374113,27.235851721526174,7.6260384820273295,0.0,9.804906619749422,0.0,1.089434068861047,1.089434068861047,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,1.0,0.5,0.0,3.0
6105,11,6,2,9,3,0,0,1,0,0,0,0,3,0,Matt Symons,80,0,4,MS697097,11.0,6.0,2.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.8333333333333333,0.75,0.0,0.16666666666666666,4.0
6106,0,2,2,15,1,0,1,0,0,0,0,2,0,0,Hugh Tizard,52,0,5,HT443979,0.0,2.59199536456865,2.59199536456865,19.439965234264875,1.295997682284325,0.0,1.295997682284325,0.0,0.0,0.0,0.0,2.59199536456865,0.0,0.0,0.9374999999999999,0.0,0.0,5.0
6107,14,7,7,14,2,0,1,1,0,0,0,6,0,0,Stephan Lewies,80,0,6,SL689048,14.0,7.0,7.0,14.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.875,0.0,0.14285714285714285,6.0
6108,5,4,3,11,0,0,0,1,0,0,0,0,0,0,Tom Lawday,80,0,7,TL410187,5.0,4.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,0.0,0.25,7.0
6109,32,12,4,13,4,1,1,5,0,1,0,0,0,0,Alex Dombrandt,80,0,8,AD528464,32.0,12.0,4.0,13.0,4.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.6666666666666665,0.7647058823529411,0.5,0.4166666666666667,8.0
6110,0,0,1,5,0,0,0,0,0,0,0,0,0,0,Jack Musk,20,1,11,JM544254,0.0,0.0,2.496785402327139,12.483927011635696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
6111,2,2,0,4,0,0,0,0,0,0,0,0,0,0,Santiago Garcia Botta,30,1,1,SG959191,3.740147460901661,3.740147460901661,0.0,7.480294921803322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
6112,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Will Collier,11,1,3,WC705990,0.0,0.0,0.0,15.626014531070856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
6113,12,4,0,5,0,0,0,2,0,0,0,0,0,0,James Chisholm,11,1,11,JC684099,46.87804359321257,15.626014531070856,0.0,19.53251816383857,0.0,0.0,0.0,7.813007265535428,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.5,6.0
6114,0,1,0,4,0,0,0,0,0,0,0,0,0,0,Luke Wallace,80,1,-1,LW568537,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
6115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis Gjaltema,80,1,-1,LG419681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
6116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tommaso Allan,80,1,-1,TA522224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6117,32,5,1,0,1,0,0,3,0,0,1,0,0,0,Nick David,22,1,11,ND264142,74.56018070194693,11.650028234679208,2.3300056469358417,0.0,2.3300056469358417,0.0,0.0,6.990016940807525,0.0,0.0,2.3300056469358417,0.0,0.0,6.4,0.0,0.0,0.6,14.0
6118,38,6,3,2,1,0,0,2,0,1,0,0,0,1,Luke James,80,0,15,LJ752551,38.0,6.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.333333333333333,0.6666666666666666,0.0,0.3333333333333333,15.0
