idPlayer,idMatch,position_num,mins_played,tries,try_assists,conversions,penalty_goals,meters_made,carries,passes_made,offloads,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,lineouts_won,lineouts_stolen,defemders_beaten,clean_breaks,at_home,is_sub
1325,273,12,80,0,0,0,0,8,3,4,0,10,1,0,1,0,0,1,0,1,0
1512,273,11,80,1,0,0,0,61,7,1,0,5,3,0,1,0,0,7,1,1,0
1327,273,10,72,0,1,0,0,0,2,11,0,10,2,0,2,0,0,0,0,1,0
986,273,9,72,1,0,0,0,44,3,41,0,3,0,0,2,0,0,0,0,1,0
996,273,1,52,0,0,0,0,1,4,0,0,2,2,0,0,0,0,0,0,1,0
988,273,2,65,0,0,0,0,8,3,3,0,9,1,1,1,0,0,0,0,1,0
1489,273,3,51,0,0,0,0,11,2,1,1,3,1,1,0,0,0,0,0,1,0
997,273,4,65,0,0,0,0,1,4,1,0,4,0,0,2,2,0,0,0,1,0
990,273,5,80,0,1,0,0,32,7,6,0,4,0,0,1,7,1,1,1,1,0
1581,273,6,72,0,0,0,0,14,3,2,0,7,2,1,0,0,1,0,0,1,0
992,273,7,80,0,0,0,0,2,3,2,0,15,0,0,0,0,0,0,0,1,0
993,273,8,80,0,0,0,0,6,15,7,0,11,0,0,0,0,0,3,0,1,0
184,273,2,15,0,0,0,0,12,5,1,1,1,0,0,0,0,0,0,0,1,1
987,273,1,28,0,0,0,0,8,2,1,0,2,0,1,0,0,0,2,0,1,1
989,273,3,29,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,1,1
132,273,4,15,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,1,1
1330,273,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
999,273,9,8,0,0,0,0,0,2,13,0,1,0,0,0,0,0,0,0,1,1
985,273,10,8,0,0,0,1,1,2,4,0,0,0,0,1,0,0,0,0,1,1
558,273,15,80,0,0,0,0,51,6,6,0,1,2,2,1,0,0,2,1,0,0
559,273,14,80,2,0,0,0,61,7,0,0,3,1,0,3,0,0,1,2,0,0
73,273,13,80,1,0,0,0,71,6,3,0,4,1,1,0,0,0,5,2,0,0
561,273,12,74,0,0,0,0,34,10,5,1,7,1,0,0,0,0,2,0,0,0
562,273,11,55,0,0,0,0,49,7,1,0,4,1,0,1,0,0,2,1,0,0
836,273,10,80,0,2,0,0,12,4,22,0,8,4,1,3,0,0,2,1,0,0
563,273,9,65,1,1,0,0,41,3,51,1,0,2,0,1,0,0,1,1,0,0
571,273,1,50,0,0,0,0,1,1,0,0,6,1,0,0,0,0,0,0,0,0
564,273,2,67,0,0,0,0,6,6,4,0,4,0,0,2,0,0,0,0,0,0
572,273,3,72,0,0,0,0,16,5,1,0,4,1,0,1,0,0,1,1,0,0
1582,273,4,63,0,0,0,0,1,1,2,0,4,1,0,0,3,0,1,0,0,0
